﻿ГОРОД: Абинск;
ОТДЕЛ: Абинск-1;
01.09.2025;1896,71
02.09.2025;2964,31
03.09.2025;2318,14
04.09.2025;2548,07
05.09.2025;1072,81
06.09.2025;1055,60
07.09.2025;2136,48
08.09.2025;1140,58
09.09.2025;596,75
10.09.2025;1009,70
11.09.2025;1602,36
12.09.2025;2094,95
13.09.2025;289,83
ГОРОД: Ессентуки;
ОТДЕЛ: Ессентуки-1;
01.09.2025;0,00
02.09.2025;2684,28
03.09.2025;104,64
04.09.2025;682,10
05.09.2025;451,56
06.09.2025;263,66
07.09.2025;592,00
08.09.2025;1329,70
09.09.2025;1155,54
10.09.2025;1163,13
11.09.2025;949,28
12.09.2025;3295,24
13.09.2025;1106,51
ГОРОД: Кореновск;
ОТДЕЛ: Кореновск-1;
01.09.2025;974,04
02.09.2025;1930,11
03.09.2025;335,68
04.09.2025;358,44
05.09.2025;818,27
06.09.2025;1425,59
07.09.2025;1470,03
08.09.2025;1003,30
09.09.2025;259,66
10.09.2025;799,17
11.09.2025;900,90
12.09.2025;480,89
13.09.2025;241,73
ГОРОД: Ставрополь;
ОТДЕЛ: Ставрополь-1;
01.09.2025;1634,60
02.09.2025;8359,13
03.09.2025;0,00
04.09.2025;3899,40
05.09.2025;152,39
06.09.2025;2640,79
07.09.2025;3998,07
08.09.2025;2703,23
09.09.2025;3611,38
10.09.2025;156,07
11.09.2025;2344,68
12.09.2025;1357,03
13.09.2025;1382,48
ОТДЕЛ: Ставрополь-2;
01.09.2025;499,51
02.09.2025;2340,90
03.09.2025;3221,84
04.09.2025;228,59
05.09.2025;2298,54
06.09.2025;3566,76
07.09.2025;1943,35
08.09.2025;295,88
09.09.2025;568,69
10.09.2025;2516,37
11.09.2025;2198,29
12.09.2025;6293,38
13.09.2025;926,62
ОТДЕЛ: Ставрополь-3;
01.09.2025;2556,79
02.09.2025;1427,92
03.09.2025;1878,43
04.09.2025;3769,87
05.09.2025;2472,38
06.09.2025;1972,05
07.09.2025;2279,06
08.09.2025;2722,01
09.09.2025;2335,15
10.09.2025;3163,54
11.09.2025;6193,26
12.09.2025;1943,18
13.09.2025;1472,05
ОТДЕЛ: Ставрополь-4;
01.09.2025;2365,87
02.09.2025;1219,04
03.09.2025;2047,39
04.09.2025;1530,06
05.09.2025;1132,28
06.09.2025;1849,25
07.09.2025;1081,02
08.09.2025;796,49
09.09.2025;1296,52
10.09.2025;2538,49
11.09.2025;2252,04
12.09.2025;1572,28
13.09.2025;2445,08
ОТДЕЛ: Ставрополь-5;
01.09.2025;1561,00
02.09.2025;1269,44
03.09.2025;2052,41
04.09.2025;983,50
05.09.2025;1661,25
06.09.2025;1155,27
07.09.2025;2020,43
08.09.2025;3621,62
09.09.2025;1624,76
10.09.2025;1236,79
11.09.2025;2911,13
12.09.2025;1678,21
13.09.2025;1520,62
ГОРОД: Тимашевск;
ОТДЕЛ: Тимашевск-1;
01.09.2025;1192,86
02.09.2025;841,73
03.09.2025;1156,78
04.09.2025;1290,71
05.09.2025;1215,51
06.09.2025;1228,00
07.09.2025;1833,79
08.09.2025;883,12
09.09.2025;1015,10
10.09.2025;984,65
11.09.2025;669,23
12.09.2025;1035,95
13.09.2025;1236,53
